date,7:30~9:30
2020-10-26,-30.34
2020-10-19,-30.46
2020-10-12,-30.57
2020-10-05,-29.49
2020-09-28,-31.37
2020-09-23,-32.06
2020-09-14,-33.28
2020-09-07,-33.43
2020-08-31,-33.73
2020-08-24,-36.91
2020-08-17,-41.42
2020-08-11,-59.12
2020-08-03,-38.77
2020-07-27,-36.11
2020-07-20,-33.01
2020-07-13,-32.89
2020-07-06,-31.77
2020-06-29,-32.38
2020-06-22,-36.99
2020-06-15,-40.34
2020-06-08,-43.72
2020-06-01,-44.64
2020-05-25,-59.24
2020-05-18,-63.61
2020-05-11,-65.13
2020-05-07,-63.86
2020-04-27,-69.72
2020-04-20,-68.56
2020-04-13,-65.48
2020-04-06,-48.24
2020-03-30,-34.5
2020-03-23,-26.27
2020-03-16,-23.98
2020-03-09,-24.87
2020-03-02,-22.36
2020-02-25,-9.47
2020-02-17,-4.11
2020-02-10,-2.94
